Product ID*,Attribute (Name:Value)*,Reference,EAN13,UPC*,Quantity,Combination avilable date,default(0/1),image url,Delete Existing Images(0/1)
32871,Size:S,46034-2,,,0,2020-05-05,0,,0
32871,Size:M,46034-2,,,0,2020-05-05,0,,0
32871,Size:L,46034-2,,,0,2020-05-05,0,,0
32871,Size:XL,46034-2,,,1,2020-05-05,0,,0
32871,Size:XXL,46034-2,,,0,2020-05-05,0,,0
32872,Size:S,46033-3,,,2,2020-05-05,0,,0
32872,Size:M,46033-3,,,1,2020-05-05,0,,0
32872,Size:L,46033-3,,,1,2020-05-05,0,,0
32872,Size:XL,46033-3,,,2,2020-05-05,0,,0
32872,Size:XXL,46033-3,,,2,2020-05-05,0,,0
32873,Size:S,46033-1,,,2,2020-05-05,0,,0
32873,Size:M,46033-1,,,1,2020-05-05,0,,0
32873,Size:L,46033-1,,,1,2020-05-05,0,,0
32873,Size:XXL,46033-1,,,2,2020-05-05,0,,0
32874,Size:S,46005-2,,,2,2020-05-05,0,,0
32874,Size:M,46005-2,,,2,2020-05-05,0,,0
32874,Size:L,46005-2,,,0,2020-05-05,0,,0
32875,Size:S,46005-1,,,6,2020-05-05,0,,0
32875,Size:M,46005-1,,,2,2020-05-05,0,,0
32875,Size:L,46005-1,,,1,2020-05-05,0,,0
32876,Size:S,46004-1,,,5,2020-05-05,0,,0
32876,Size:M,46004-1,,,4,2020-05-05,0,,0
32876,Size:L,46004-1,,,0,2020-05-05,0,,0
32877,Size:Uniwersalny,32001-4,,,0,2020-05-05,0,,0
32878,Size:S,3616-2,,,0,2020-05-05,0,,0
32878,Size:M,3616-2,,,0,2020-05-05,0,,0
32878,Size:L,3616-2,,,0,2020-05-05,0,,0
32878,Size:XL,3616-2,,,1,2020-05-05,0,,0
